"id","age_group","sentence","n_letters","trialtime","error_percent","backspaces"
113,"young",15,19,6175,0.789473684210526,1
113,"young",16,11,3599,1,0
113,"young",17,22,10248,0.818181818181818,3
113,"young",18,24,2117,0.75,0
113,"young",19,12,4549,1.25,0
113,"young",20,22,3308,0.818181818181818,0
113,"young",21,22,4496,0.772727272727273,0
113,"young",22,17,4126,0.882352941176471,0
113,"young",23,21,24828,0.857142857142857,20
113,"young",24,11,8035,1.45454545454545,0
113,"young",25,22,2993,0.772727272727273,0
113,"young",26,23,6301,0.91304347826087,0
113,"young",27,18,6767,0.833333333333333,3
113,"young",28,16,4786,0.9375,0
113,"young",29,12,8346,1.66666666666667,3
113,"young",30,20,14183,0.9,11
113,"young",31,21,5947,0.904761904761905,0
113,"young",32,22,7320,0.818181818181818,1
113,"young",33,23,13277,0.869565217391304,11
113,"young",34,18,5365,0.944444444444444,0
113,"young",35,12,4990,1.33333333333333,0
113,"young",36,19,2241,0.736842105263158,0
113,"young",37,14,4837,0.642857142857143,0
113,"young",38,10,6355,1.6,0
113,"young",39,18,3213,0.944444444444444,0
113,"young",40,11,5125,1.09090909090909,0
113,"young",41,15,8053,0.933333333333333,4
113,"young",42,15,3174,0.8,0
113,"young",43,21,7226,0.904761904761905,0
113,"young",44,17,6015,1.05882352941176,0
113,"young",45,20,3819,0.95,0
113,"young",46,21,2658,0.714285714285714,0
113,"young",47,22,3706,0.727272727272727,0
113,"young",48,21,5299,0.619047619047619,0
113,"young",49,18,5669,0.722222222222222,0
113,"young",50,18,7474,1,0
114,"young",1,19,7681,0,1
114,"young",2,18,5158,0,0
114,"young",3,15,3576,0,0
114,"young",4,19,6495,0,0
114,"young",5,13,4679,0,0
114,"young",6,13,4753,0,0
114,"young",7,21,14226,0,10
114,"young",8,20,10251,0,7
114,"young",9,18,5252,0,0
114,"young",10,12,3401,0,0
114,"young",11,14,3288,0,0
114,"young",12,24,6688,0,0
114,"young",13,18,4320,0,0
114,"young",14,19,4690,0,0
114,"young",15,19,5901,0,0
114,"young",16,11,5875,0,3
114,"young",17,22,8173,0,2
114,"young",18,24,6001,0,0
114,"young",19,12,3836,0,0
114,"young",20,22,9108,0,2
114,"young",21,22,9314,0,1
114,"young",22,17,9676,0,4
114,"young",23,21,9475,0,3
114,"young",24,11,2309,0,0
114,"young",25,22,21753,0,13
114,"young",26,23,7335,0,0
114,"young",27,18,4818,0,0
114,"young",28,16,4601,0,0
114,"young",29,12,4031,0,0
114,"young",30,20,5868,0,0
114,"young",31,21,5385,0,0
114,"young",32,22,6262,0,0
114,"young",33,23,6127,0.0434782608695652,0
114,"young",34,18,5210,0,0
114,"young",35,12,2740,0,0
114,"young",36,19,4604,0,0
114,"young",37,14,3712,0,0
114,"young",38,10,2675,0,0
114,"young",39,18,5166,0,0
114,"young",40,11,3297,0,0
114,"young",41,15,6748,0.0666666666666667,1
114,"young",42,15,4487,0,0
114,"young",43,21,6877,0,0
114,"young",44,17,10481,0,7
114,"young",45,20,6316,0,0
114,"young",46,21,12655,0,10
114,"young",47,22,7660,0,1
114,"young",48,21,9605,0,4
114,"young",49,18,5461,0,0
114,"young",50,18,5896,0,0
115,"young",1,19,5972,0.105263157894737,0
115,"young",3,15,4956,0,0
115,"young",4,19,6265,0.0526315789473684,1
115,"young",7,21,8350,0,3
115,"young",8,20,7087,0.05,1
115,"young",9,18,8603,0,9
115,"young",10,12,5019,0,0
115,"young",11,14,6024,0.0714285714285714,1
115,"young",12,24,14044,0,6
115,"young",13,18,6256,0.0555555555555556,2
115,"young",14,19,7583,0,3
115,"young",15,19,6525,0,3
115,"young",16,11,4282,0,2
115,"young",17,22,7636,0.0454545454545455,1
115,"young",19,12,7679,0,3
115,"young",20,22,7158,0.0909090909090909,1
115,"young",21,22,10688,0.0454545454545455,1
115,"young",22,17,6349,0,1
115,"young",23,21,7351,0,1
115,"young",24,11,2617,0.0909090909090909,0
115,"young",25,22,12600,0.0909090909090909,7
115,"young",27,18,3885,0,0
115,"young",28,16,8266,0,5
115,"young",29,12,3985,0,0
115,"young",30,20,8867,0,3
115,"young",31,21,12298,0,12
115,"young",32,22,6719,0,0
115,"young",34,18,7963,0,2
115,"young",35,12,2497,0,0
115,"young",36,19,7579,0.0526315789473684,2
115,"young",38,10,3306,0,1
115,"young",39,18,7911,0,1
115,"young",40,11,3880,0,1
115,"young",41,15,4685,0.0666666666666667,0
115,"young",42,15,5424,0,1
115,"young",43,21,7900,0.0476190476190476,1
115,"young",44,17,5583,0,1
115,"young",45,20,8274,0,3
115,"young",46,21,6307,0,1
115,"young",47,22,9692,0,4
115,"young",48,21,7911,0,1
115,"young",49,18,7030,0,2
115,"young",50,18,7309,0,2
201,"old",1,19,12020,0,0
201,"old",2,18,13297,0,0
201,"old",3,15,9156,0,0
201,"old",4,19,11356,0,0
201,"old",5,13,10437,0,2
201,"old",6,13,11234,0,0
201,"old",7,21,13585,0,0
201,"old",8,20,11868,0.05,0
201,"old",9,18,10118,0.0555555555555556,0
201,"old",10,12,6960,0,0
201,"old",11,14,9298,0,0
201,"old",12,24,14306,0,0
201,"old",13,18,10280,0,1
201,"old",14,19,10558,0,0
201,"old",15,19,9353,0,0
201,"old",16,11,6793,0,0
201,"old",17,22,11909,0,0
201,"old",18,24,20613,0,3
201,"old",19,12,6274,0,0
201,"old",20,22,14508,0,0
201,"old",21,22,13584,0,0
201,"old",22,17,10825,0,0
201,"old",23,21,12467,0,0
201,"old",24,11,5310,0,0
201,"old",25,22,12488,0,0
201,"old",26,23,12492,0,0
201,"old",27,18,10458,0,0
201,"old",28,16,10135,0,0
201,"old",29,12,8500,0,0
201,"old",30,20,12590,0,0
201,"old",31,21,26223,0.0952380952380952,3
201,"old",32,22,13590,0,0
201,"old",33,23,13072,0,0
201,"old",34,18,17365,0,1
201,"old",35,12,7076,0,0
201,"old",36,19,11043,0,0
201,"old",37,14,12487,0,2
201,"old",38,10,5974,0,0
201,"old",39,18,10919,0,0
201,"old",40,11,5354,0,0
201,"old",41,15,9208,0,0
201,"old",42,15,8201,0,0
201,"old",43,21,14227,0,0
201,"old",44,17,9742,0,0
201,"old",45,20,15769,0,0
201,"old",46,21,12302,0,0
201,"old",47,22,15435,0,0
201,"old",48,21,18155,0.0476190476190476,1
201,"old",49,18,11345,0,0
201,"old",50,18,10264,0,0
202,"old",1,19,10619,0,0
202,"old",2,18,13601,0,0
202,"old",3,15,8498,0,0
202,"old",4,19,11150,0,0
202,"old",5,13,7198,0,0
202,"old",6,13,7672,0,0
202,"old",7,21,15012,0,0
202,"old",8,20,9905,0,0
202,"old",9,18,9012,0,0
202,"old",10,12,5382,0,0
202,"old",11,14,7229,0,0
202,"old",12,24,14743,0,0
202,"old",13,18,9697,0,0
202,"old",14,19,9141,0,0
202,"old",15,19,10648,0,0
202,"old",16,11,5166,0,0
202,"old",17,22,15476,0,0
202,"old",18,24,12110,0.0833333333333333,0
202,"old",19,12,6366,0,0
202,"old",20,22,12914,0,0
202,"old",21,22,10871,0,0
202,"old",22,17,15894,0,8
202,"old",23,21,13496,0,0
202,"old",24,11,4885,0,0
202,"old",25,22,16282,0,1
202,"old",26,23,11840,0,0
202,"old",27,18,24193,0,11
202,"old",28,16,7498,0,0
202,"old",29,12,6359,0,0
202,"old",30,20,10980,0,0
202,"old",31,21,12440,0,0
202,"old",32,22,30603,0.0454545454545455,8
202,"old",33,23,21312,0.0434782608695652,9
202,"old",34,18,12642,0,0
202,"old",36,19,9527,0,0
202,"old",37,14,7001,0,0
202,"old",38,10,4360,0,0
202,"old",39,18,28083,0,14
202,"old",40,11,3993,0,0
202,"old",41,15,7387,0,0
202,"old",42,15,7245,0,0
202,"old",43,21,13344,0,0
202,"old",44,17,9119,0.0588235294117647,0
202,"old",45,20,12562,0.05,0
202,"old",46,21,11073,0.0476190476190476,0
202,"old",47,22,18770,0,2
202,"old",48,21,15238,0,0
